Infinity,1,Infinity,0,Infinity,1,Infinity
54.3856,11,598.2416,0,52.4637,13,682.0281
54.44922,11,598.9414,0,52.23035,13,678.9946
55.11709,11,606.288,0,52.04157,12,624.4988
55.87358,11,614.6094,0,52.49205,11,577.4126
56.75941,11,624.3535,0,52.52346,11,577.758
56.94905,12,683.3886,0,51.28979,12,615.4775
56.94905,12,683.3886,0,52.33755,12,628.0506
56.96421,11,626.6064,0,51.35046,12,616.2055
56.10071,12,673.2086,0,50.64049,13,658.3264
56.74824,11,624.2306,0,51.97717,13,675.7032
56.74824,11,624.2306,0,50.55916,13,657.2691
55.81648,12,669.7977,0,52.07981,14,729.1174
55.81648,12,669.7977,0,50.73965,14,710.355
55.81648,12,669.7977,0,51.8857,14,726.3998
56.11448,12,673.3738,0,51.17795,14,716.4913
54.21048,12,650.5258,0,51.06625,14,714.9275
55.31553,12,663.7863,0,50.54694,14,707.6572
54.48851,12,653.8622,0,54.64837,13,710.4288
55.27064,12,663.2477,0,54.11624,11,595.2787
51.59496,12,619.1395,0,47.85032,12,574.2039
54.98089,12,659.7707,0,52.01747,12,624.2097
54.82074,11,603.0281,0,51.28184,12,615.3821
49.98825,12,599.8591,0,48.12262,13,625.5941
53.81377,12,645.7652,0,51.80779,13,673.5012
53.41289,12,640.9547,0,51.58242,11,567.4066
50.92664,13,662.0463,0,49.60847,12,595.3016
54.42129,12,653.0554,0,50.88447,12,610.6136
54.42129,12,653.0554,0,53.04708,12,636.565
52.29094,13,679.7822,0,50.56649,13,657.3644
54.00863,13,702.1121,0,51.07756,13,664.0084
54.00863,13,702.1121,0,49.56584,13,644.3559
52.33803,13,680.3944,0,49.07016,14,686.9822
51.80732,12,621.6879,0,52.51212,14,735.1697
51.48419,12,617.8103,0,51.78102,13,673.1532
52.30793,12,627.6951,0,53.0166,13,689.2158
54.00547,12,648.0656,0,50.28302,13,653.6793
53.34152,11,586.7567,0,52.44928,12,629.3913
53.54211,12,642.5054,0,50.36345,13,654.7249
54.27242,11,596.9966,0,53.11288,13,690.4675
54.27242,11,596.9966,0,50.3228,13,654.1965
53.55176,12,642.6211,0,48.14508,14,674.0311
53.55176,12,642.6211,0,51.05783,14,714.8096
53.55176,12,642.6211,0,49.27023,14,689.7831
53.59513,13,696.7366,0,50.97898,15,764.6848
53.01274,12,636.1529,0,53.71083,12,644.53
53.01274,12,636.1529,0,54.20028,12,650.4033
53.6356,12,643.6272,0,53.88521,13,700.5077
53.6356,12,643.6272,0,52.58018,13,683.5424
53.6356,12,643.6272,0,52.27847,13,679.6201
53.08671,13,690.1273,0,51.82651,14,725.5712
53.68561,12,644.2273,0,51.94049,14,727.1668
53.68561,12,644.2273,0,52.47259,14,734.6163
52.69136,13,684.9876,0,52.42169,15,786.3253
52.69136,13,684.9876,0,54.31726,13,706.1245
52.69136,13,684.9876,0,53.79834,12,645.5801
53.01657,14,742.2321,0,54.51023,11,599.6125
53.01657,14,742.2321,0,51.1909,11,563.0999
53.73154,13,698.51,0,52.33456,11,575.6801
54.37704,14,761.2785,0,51.23889,12,614.8667
55.10251,13,716.3326,0,50.276,12,603.312
55.10251,13,716.3326,0,51.60973,12,619.3168
54.86407,14,768.097,0,52.04827,13,676.6276
54.07714,13,703.0028,0,52.83242,12,633.989
55.61661,13,723.0159,0,52.50867,12,630.1041
56.1592,13,730.0696,0,52.09842,13,677.2794
54.15419,12,649.8503,0,52.7536,13,685.7968
56.62378,12,679.4854,0,52.47727,13,682.2045
56.74674,12,680.9609,0,52.72597,14,738.1636
56.4963,11,621.4592,0,54.24354,14,759.4095
56.4963,11,621.4592,0,52.63868,14,736.9415
56.18677,12,674.2412,0,52.68509,15,790.2764
56.18677,12,674.2412,0,50.8964,15,763.446
56.18677,12,674.2412,0,51.36465,15,770.4697
57.52203,12,690.2643,0,54.1304,14,757.8256
57.52203,12,690.2643,0,53.4849,12,641.8188
57.52203,12,690.2643,0,54.89241,12,658.7089
57.01903,12,684.2283,0,53.74452,13,698.6788
57.34895,12,688.1874,0,53.68507,11,590.5357
52.70947,13,685.2231,0,47.74174,12,572.9009
59.01208,11,649.1329,0,52.27476,12,627.2971
59.01208,11,649.1329,0,51.86826,11,570.5508
54.4247,12,653.0964,0,46.44213,12,557.3055
57.92278,12,695.0734,0,50.40805,12,604.8965
57.92278,12,695.0734,0,51.35352,12,616.2422
54.87439,13,713.3671,0,49.59672,13,644.7574
57.00862,13,741.112,0,51.83448,13,673.8482
57.00862,13,741.112,0,51.0062,13,663.0806
54.6325,13,710.2225,0,49.62515,14,694.7521
56.39144,11,620.3058,0,52.07389,14,729.0345
56.39144,11,620.3058,0,51.43738,14,720.1233
55.02373,12,660.2848,0,48.32687,15,724.903
55.02373,12,660.2848,0,52.48926,12,629.8712
55.02373,12,660.2848,0,54.26137,12,651.1364
55.19031,13,717.4741,0,53.3369,12,640.0428
55.19031,13,717.4741,0,52.35616,11,575.9178
56.41174,12,676.9409,0,52.53893,11,577.9283
56.16841,12,674.0209,0,51.87551,12,622.5061
